id_order,brand_cat
299600,Pack - pc
298391,Pack - pc
298391,Apple - extended warranty
300152,Apple - smartphone
300158,Apple - other
300310,Withings - display
300435,Withings - other
300443,Parrot - other
300443,Hyper Pearl - other
300646,Netatmo - other
300778,Apple - tablet
301106,Hyper Pearl - other
301204,Apple - tablet
301232,Unknown - Unknown
301344,Netatmo - other
301300,Dell - display
301395,Oblumi - other
301636,TP-Link - other
301733,Apple - smartphone
301752,Unknown - Unknown
301854,Unknown - Unknown
302069,Unknown - Unknown
302331,Apple - smartphone
302431,Unknown - Unknown
302586,Apple - laptop
302890,LG - display
302890,Unknown - Unknown
281497,BenQ - display
303158,Unknown - Unknown
303234,Apple - tablet
303827,Apple - laptop
304182,Apple - tablet
304299,Apple - laptop
304505,Apple - smartphone
304813,Apple - smartphone
305445,Service - service
301097,Apple - tablet
305775,Apple - tablet
305861,Eizo - display
305973,LG - display
306419,Unknown - Unknown
306459,BenQ - display
306557,BenQ - display
306677,Service - service
306766,Apple - tablet
307073,Apple - laptop
307102,Unknown - Unknown
307112,Apple - pc
307112,Samsung - display
307253,Pack - pc
307835,Pack - pc
307948,Pack - pc
307948,LG - display
308126,Apple - pc
308141,Apple - extended warranty
308193,Pack - laptop
308509,LG - display
307835,Apple - laptop
308725,Pack - pc
309033,Apple - tablet
309046,LG - display
309245,Apple - laptop
309434,Apple - other
309530,Apple - smartphone
307504,Wacom - tablet
310039,Apple - smartphone
310765,Unknown - Unknown
310920,Netatmo - other
311231,Apple - extended warranty
311249,Unknown - Unknown
311453,Netatmo - other
311458,Eizo - display
311458,Wacom - tablet
311642,LG - display
311736,Pack - pc
311738,Apple - tablet
311750,D-Link - camera
311924,LG - display
312124,Apple - tablet
312208,Pack - laptop
312596,LG - display
310611,Dell - display
312794,Pack - pc
312794,Trascend - other
313012,Apple - laptop
313026,Apple - tablet
313073,Unknown - Unknown
313274,Apple - tablet
313353,Apple - laptop
313418,LG - display
313418,Wacom - tablet
313497,Apple - other
313073,Wacom - tablet
313530,Apple - tablet
310036,Jawbone - display
313746,LG - display
313746,Service - service
313779,Apple - pc
313806,Pack - pc
313806,Dell - display
313838,BenQ - display
313850,Philips - other
313875,Apple - laptop
310410,Dell - display
314158,Apple - laptop
314158,Pack - pc
314287,Apple - tablet
314316,LG - display
314350,Apple - laptop
314388,Wacom - service
314388,NewerTech - other
314505,Dell - display
314505,Apple - smartphone
314505,Pack - laptop
314625,LG - display
315031,Apple - laptop
315035,Unknown - Unknown
315217,Apple - laptop
315220,Apple - laptop
315236,Service - service
315262,LG - display
315265,Apple - smartphone
315859,Apple - laptop
316012,Dell - display
316167,Pack - pc
316167,Service - service
316287,Apple - laptop
316356,Hyper Pearl - other
316492,Apple - pc
316710,Apple - laptop
317360,Unknown - Unknown
317432,Apple - laptop
317465,Apple - smartphone
317508,LG - display
315626,Apple - laptop
317676,Apple - smartphone
317729,Apple - smartphone
318134,Apple - laptop
318141,Apple - laptop
318354,Apple - laptop
318490,Apple - extended warranty
318673,LG - display
318750,BenQ - display
317601,Dell - display
318776,Apple - laptop
318935,Unknown - Unknown
318964,Apple - tablet
319027,Pack - pc
319036,Service - service
319132,Apple - tablet
319387,Withings - other
320391,Apple - laptop
320395,Service - service
320426,LG - display
320582,Dell - display
320791,LG - display
317761,Apple - tablet
321030,Apple - laptop
321096,Pack - pc
321096,Apple - laptop
319423,Pack - pc
321203,Apple - pc
321214,LG - display
321643,Apple - laptop
321705,Pack - pc
321705,Service - service
321755,LG - display
321851,Pack - pc
321851,Apple - extended warranty
321892,Apple - laptop
321892,LG - display
321948,Apple - laptop
322112,Apple - smartphone
322267,Pack - pc
322267,Apple - extended warranty
322275,Service - service
322546,Wacom - tablet
322599,Pack - pc
322599,Apple - extended warranty
322509,Apple - laptop
322824,Unknown - Unknown
323071,Dell - display
323315,Apple - smartphone
323377,Pack - pc
323451,Service - service
323467,Apple - smartphone
323532,Service - service
323669,Apple - tablet
323669,Unknown - Unknown
324014,Unknown - Unknown
324027,Apple - laptop
324041,Pack - pc
324067,Apple - laptop
324150,Apple - laptop
324554,Synology - other
324538,Apple - laptop
324957,Pack - pc
324996,Pack - pc
325043,Apple - smartphone
325132,Apple - smartphone
325371,Apple - laptop
325371,LG - display
325462,Apple - laptop
325548,Unknown - Unknown
325751,Apple - laptop
325908,LG - display
326007,Apple - smartphone
326079,Wacom - tablet
326121,Apple - tablet
326121,Apple - extended warranty
326181,Apple - smartphone
326514,Apple - laptop
326582,Apple - smartphone
326589,LG - display
326605,Pack - pc
326686,Apple - smartphone
326686,Apple - extended warranty
326589,Trascend - other
326858,Pack - pc
326858,LG - display
326858,Service - service
327058,Apple - pc
327524,Apple - laptop
327524,Apple - tablet
327596,Pack - pc
329793,Apple - pc
332438,Apple - laptop
333228,Synology - other
335117,Pack - pc
337553,Pack - pc
337553,Apple - extended warranty
338609,Apple - laptop
338609,Microsoft - software
338763,Dell - display
338763,Apple - pc
338780,Apple - pc
338780,Apple - laptop
339299,Eizo - display
339735,Pack - pc
339735,Apple - tablet
339735,Apple - extended warranty
339839,Pack - pc
339388,Apple - laptop
341536,Apple - smartphone
341536,Apple - extended warranty
341766,Apple - tablet
342335,Pack - pc
342335,Eizo - display
342424,Wacom - tablet
342425,Service - service
342551,Apple - laptop
342551,Apple - extended warranty
342570,Wacom - tablet
342434,Pack - pc
342620,Apple - pc
343124,BenQ - display
340401,LG - display
343188,Dell - display
343480,Service - service
343555,Pack - pc
342434,Apple - other
343704,Apple - pc
343999,Synology - other
341352,Unknown - Unknown
344041,Apple - laptop
344060,Apple - pc
344060,Apple - laptop
344089,Jawbone - display
344089,Apple - pc
344333,Pack - pc
344599,Apple - pc
333662,Apple - laptop
333662,Pack - pc
345076,Apple - pc
345185,Dell - display
345195,Apple - smartphone
344599,Apple - extended warranty
345455,Apple - pc
345886,LG - display
346077,Dell - display
346242,Apple - extended warranty
346292,Dell - display
346314,Apple - laptop
346347,Apple - smartwhatch
346389,Apple - extended warranty
346450,Netatmo - other
346459,Parrot - other
346706,D-Link - other
346726,Apple - extended warranty
346737,Apple - pc
346817,LG - display
346777,Pack - pc
346777,LG - display
346955,Apple - tablet
346998,BenQ - display
347034,Apple - tablet
346831,Noke - other
347169,Apple - pc
347183,Wacom - tablet
347261,Apple - laptop
347309,Apple - tablet
347381,Wacom - tablet
347474,Service - service
347515,Apple - extended warranty
347595,Wacom - tablet
347270,Apple - tablet
347957,Apple - laptop
348035,Apple - tablet
348089,Apple - pc
348098,Jawbone - display
348205,Jawbone - display
348255,Apple - pc
348257,Pack - pc
348255,Samsung - display
348257,Apple - extended warranty
348260,Eizo - display
348263,Trascend - other
348026,Service - service
348186,Jawbone - display
348554,Apple - extended warranty
348556,Samsung - display
348562,Philips - other
348655,D-Link - other
348684,Apple - pc
348684,Apple - extended warranty
348684,Unknown - Unknown
348874,Apple - pc
348874,Unknown - Unknown
348890,Apple - smartphone
348943,Apple - pc
348972,Philips - other
348998,Apple - laptop
348998,Apple - extended warranty
348998,Unknown - Unknown
349041,Apple - pc
349041,Unknown - Unknown
349101,Apple - smartphone
349136,Apple - laptop
349136,Unknown - Unknown
349139,Apple - laptop
349139,Unknown - Unknown
349187,Apple - laptop
349187,Unknown - Unknown
349208,Service - service
349291,Apple - tablet
349291,Apple - extended warranty
349315,Pack - pc
349315,Unknown - Unknown
349438,Pack - pc
349454,Apple - tablet
349479,Service - service
349563,Apple - laptop
349563,Unknown - Unknown
349438,Unknown - Unknown
349862,Apple - laptop
349862,Unknown - Unknown
349897,Apple - laptop
349897,Unknown - Unknown
349898,Apple - pc
349898,Apple - extended warranty
349898,Unknown - Unknown
349969,Apple - smartphone
349974,Apple - pc
349974,Unknown - Unknown
350016,LG - display
350095,Pack - pc
350095,Unknown - Unknown
350295,Apple - laptop
350295,Unknown - Unknown
350328,Apple - laptop
350328,Unknown - Unknown
350405,Pack - pc
350405,Unknown - Unknown
350330,Apple - laptop
350330,Unknown - Unknown
350539,Pack - pc
350539,Unknown - Unknown
350677,Apple - laptop
350677,Unknown - Unknown
350794,Unknown - Unknown
350844,Apple - laptop
350844,Unknown - Unknown
350844,Microsoft - software
350867,Apple - laptop
350867,Unknown - Unknown
350904,Pack - pc
350904,Unknown - Unknown
349403,Apple - laptop
349403,Unknown - Unknown
350962,Apple - laptop
350962,Unknown - Unknown
351021,Apple - laptop
351021,Unknown - Unknown
351037,Apple - extended warranty
351066,Apple - laptop
351066,Unknown - Unknown
351091,Apple - laptop
351091,Unknown - Unknown
351230,Service - service
351238,Apple - pc
351238,Unknown - Unknown
351448,Pack - pc
351448,Unknown - Unknown
351515,Apple - pc
351515,Unknown - Unknown
351518,LG - display
351601,Dell - display
351860,Apple - extended warranty
351912,Dell - display
351974,Apple - pc
351996,Apple - laptop
352245,Apple - tablet
352513,Apple - other
352532,Apple - pc
352532,Dell - display
352546,Apple - laptop
352546,Apple - smartphone
351962,Apple - smartphone
351962,Apple - extended warranty
352644,Samsung - display
347879,Wacom - service
352749,Apple - laptop
352749,Dell - display
353150,Withings - other
353559,Apple - smartphone
353586,Dell - display
353622,Apple - tablet
353622,Apple - smartphone
353682,Apple - smartphone
353715,Apple - laptop
353734,LG - display
353734,Apple - laptop
343195,Apple - tablet
343195,Pack - pc
353786,Apple - laptop
353798,Service - service
353824,Apple - laptop
353932,Microsoft - software
353932,Apple - laptop
354020,Apple - smartphone
354202,LG - display
354405,Apple - laptop
354405,Microsoft - software
354481,Apple - laptop
354566,Apple - tablet
354229,Pack - pc
354852,Apple - laptop
354952,Apple - pc
354952,BenQ - display
355148,Pack - pc
355148,BenQ - display
355236,Unknown - Unknown
355734,Apple - tablet
355804,Wacom - tablet
355859,Apple - smartphone
355892,Wacom - tablet
355904,Pack - pc
355920,Apple - pc
355902,Service - service
356021,Apple - laptop
356510,Apple - tablet
355892,Apple - pc
356743,Wacom - tablet
356830,Apple - tablet
356830,Trascend - other
356901,Trascend - other
356911,Apple - laptop
357066,Service - service
357414,Apple - tablet
357416,Pack - pc
344058,Pack - pc
357595,Apple - smartwhatch
357595,Apple - smartphone
357625,Wacom - tablet
357762,Apple - laptop
357762,Unknown - Unknown
357868,Apple - laptop
357868,Unknown - Unknown
357882,Apple - tablet
357883,Apple - laptop
357883,Unknown - Unknown
349712,Apple - laptop
351016,Apple - pc
351016,Unknown - Unknown
357941,Pack - pc
357941,Unknown - Unknown
358030,Apple - smartphone
358030,Apple - extended warranty
358105,Apple - laptop
358105,Unknown - Unknown
356975,Apple - pc
356975,Unknown - Unknown
358293,Apple - laptop
358293,Unknown - Unknown
358294,Apple - laptop
358294,Unknown - Unknown
358341,Service - service
358383,Eizo - display
358365,Service - service
358383,LG - display
358452,Apple - tablet
358446,Apple - pc
358446,Apple - extended warranty
358446,Unknown - Unknown
358631,Apple - pc
358631,Apple - extended warranty
